"","V11","V1","V2","V5"
"1",39900343,"2022/01/01","00:04:07.65",1
"2",39900367,"2022/01/01","00:08:48.73",1.61
"3",39900383,"2022/01/01","01:31:41.21",1.85
"4",39900391,"2022/01/01","01:48:56.49",1.64
"5",39900399,"2022/01/01","02:05:50.55",1.2
"6",39900439,"2022/01/01","05:23:57.61",1.79
"7",39900447,"2022/01/01","05:45:55.08",1.34
"8",39900455,"2022/01/01","06:02:14.41",1.39
"9",39900471,"2022/01/01","06:07:53.85",0.89
"10",39900479,"2022/01/01","06:26:43.14",1.59
"11",39900487,"2022/01/01","06:30:11.83",1.72
"12",39900503,"2022/01/01","07:10:40.76",1.45
"13",39900511,"2022/01/01","08:07:21.14",0.96
"14",39900519,"2022/01/01","09:20:54.29",1.14
"15",39900527,"2022/01/01","09:23:15.20",1.23
"16",39900535,"2022/01/01","09:58:38.30",1.09
"17",39900543,"2022/01/01","10:40:50.39",1.16
"18",39900551,"2022/01/01","11:14:58.83",0.68
"19",39900567,"2022/01/01","12:21:33.32",0.5
"20",39900583,"2022/01/01","13:04:54.33",0.65
"21",39900591,"2022/01/01","14:36:34.66",0.72
"22",39900599,"2022/01/01","14:43:49.68",0.72
"23",39900607,"2022/01/01","14:47:49.72",1.71
"24",39900623,"2022/01/01","15:39:21.64",1.04
"25",39900639,"2022/01/01","16:42:09.35",1.68
"26",39900655,"2022/01/01","17:41:32.25",0.06
"27",39900671,"2022/01/01","18:20:06.80",1.37
"28",39900687,"2022/01/01","18:46:13.68",1.48
"29",39900727,"2022/01/01","21:26:13.49",0.62
"30",39900735,"2022/01/01","21:31:53.61",0.86
"31",39900743,"2022/01/01","21:35:15.74",1.15
"32",39900751,"2022/01/01","21:40:55.94",0.66
"33",39900759,"2022/01/01","21:45:03.47",0.69
"34",39900799,"2022/01/01","23:51:24.19",1.58
"35",39900807,"2022/01/02","00:16:14.08",2.28
"36",39900815,"2022/01/02","01:15:49.73",0.75
"37",39900823,"2022/01/02","01:26:00.88",0.82
"38",39900831,"2022/01/02","01:33:49.59",0.62
"39",39900839,"2022/01/02","01:38:07.32",0.96
"40",39900847,"2022/01/02","01:47:26.12",0.36
"41",39900871,"2022/01/02","03:02:43.27",1.97
"42",39900895,"2022/01/02","03:31:57.83",0.47
"43",39900903,"2022/01/02","03:33:49.15",0.35
"44",39900911,"2022/01/02","04:41:14.12",1
"45",39900919,"2022/01/02","04:46:40.15",0.73
"46",39900927,"2022/01/02","05:16:57.48",1.21
"47",39900943,"2022/01/02","05:50:59.30",0.68
"48",37376796,"2022/01/02","05:51:14.86",0.71
"49",39900959,"2022/01/02","06:01:51.74",0.48
"50",39900991,"2022/01/02","08:30:30.07",0.38
"51",37376804,"2022/01/02","08:30:44.34",0.06
"52",39900999,"2022/01/02","09:15:07.54",1.25
"53",39901007,"2022/01/02","09:51:44.82",0.33
"54",39901015,"2022/01/02","10:16:25.89",0.9
"55",39901023,"2022/01/02","10:25:41.68",0.86
"56",39901031,"2022/01/02","11:49:05.71",1.86
"57",39901039,"2022/01/02","12:29:37.81",0.61
"58",39901047,"2022/01/02","12:36:18.87",0.72
"59",39901055,"2022/01/02","12:37:18.36",1.97
"60",39901063,"2022/01/02","12:49:17.17",0.5
"61",39901087,"2022/01/02","13:13:23.77",1.28
"62",39901127,"2022/01/02","14:09:57.43",0.57
"63",39901135,"2022/01/02","14:13:47.69",0.52
"64",39901167,"2022/01/02","16:19:23.02",0.7
"65",39901207,"2022/01/02","18:28:38.67",1.43
"66",39901239,"2022/01/02","19:12:01.63",1.15
"67",39901247,"2022/01/02","19:30:32.87",1.01
"68",39901263,"2022/01/02","20:00:34.86",1.15
"69",39901279,"2022/01/02","20:31:57.81",1.18
"70",39901295,"2022/01/02","20:44:44.03",0.81
"71",39901303,"2022/01/02","20:51:03.41",0.98
"72",39901311,"2022/01/02","20:52:22.50",0.65
"73",39901319,"2022/01/02","20:56:12.53",1.76
"74",39901343,"2022/01/02","22:04:29.19",1.05
"75",39901359,"2022/01/02","22:37:31.07",0.85
"76",39901367,"2022/01/02","23:03:27.17",0.76
"77",39901383,"2022/01/02","23:25:46.02",1.83
"78",39901391,"2022/01/02","23:27:45.92",2.36
"79",39901407,"2022/01/02","23:29:36.58",0.39
"80",39901415,"2022/01/02","23:36:16.73",0.72
"81",39901431,"2022/01/03","00:01:26.45",0.73
"82",39901455,"2022/01/03","00:39:00.49",0.32
"83",37376300,"2022/01/03","00:39:10.42",0.12
"84",39901471,"2022/01/03","01:17:08.92",0.8
"85",39901479,"2022/01/03","01:33:27.31",0.8
"86",39901487,"2022/01/03","01:52:27.61",0.84
"87",39901495,"2022/01/03","02:03:34.59",0.45
"88",39901519,"2022/01/03","02:34:48.20",3.92
"89",39901535,"2022/01/03","02:56:38.91",0.85
"90",39901543,"2022/01/03","03:02:30.17",2.95
"91",39901551,"2022/01/03","03:02:41.54",1.25
"92",39901559,"2022/01/03","03:13:10.86",0.79
"93",39901567,"2022/01/03","03:16:11.00",1.13
"94",39901575,"2022/01/03","03:33:08.85",1.19
"95",39901583,"2022/01/03","03:43:06.66",1.59
"96",39901591,"2022/01/03","03:49:45.19",0.48
"97",39901607,"2022/01/03","04:10:32.01",0.89
"98",37376764,"2022/01/03","04:11:02.72",1.3
"99",39901639,"2022/01/03","04:44:10.85",0.37
"100",39901647,"2022/01/03","05:02:51.47",1.32
"101",39901663,"2022/01/03","07:04:56.21",1.94
"102",39901671,"2022/01/03","07:39:28.45",0.68
"103",39901679,"2022/01/03","08:13:41.26",0.69
"104",39901687,"2022/01/03","08:20:50.16",0.57
